metro,month,year,passersby
Archives,5,2017,211.513
Archives,6,2017,249.73399
Ballston,10,2016,224.927
Ballston,11,2016,203.823
Ballston,12,2016,177.483
Ballston,3,2017,234.21201
Ballston,4,2017,225.334
Ballston,5,2017,228.623
Ballston,6,2017,236.203
Dupont Circle,5,2017,448.42999
Dupont Circle,6,2017,489.90302
Dupont Circle,10,2017,415.586
Dupont Circle,11,2017,415.586
Farragut North,10,2016,494.74701
Farragut North,11,2016,414.802
Farragut North,2,2017,472.63199
Farragut North,3,2017,549.80902
Farragut North,4,2017,489.50699
Farragut North,5,2017,527.04303
Farragut North,6,2017,542.974
Farragut West,10,2016,450.043
Farragut West,11,2016,432.867
Farragut West,12,2016,382.05499
Farragut West,2,2017,383.32599
Farragut West,3,2017,464.85101
Farragut West,4,2017,430.95001
Farragut West,5,2017,459.436
Farragut West,6,2017,490.90701
Federal Center,5,2017,125.967
Federal Center,10,2017,125.613
Federal Center,11,2017,125.613
Federal Triangle,3,2017,199.87601
Federal Triangle,4,2017,210.972
Federal Triangle,5,2017,199.834
Federal Triangle,6,2017,202.08701
Foggy Bottom,5,2017,476.492
Foggy Bottom,6,2017,515.758
Gallery Place,2,2017,582.49597
Gallery Place,3,2017,690.53302
Gallery Place,4,2017,634.81897
Gallery Place,5,2017,597.651
Gallery Place,6,2017,603.56799
Georgetown,5,2017,476.492
Georgetown,6,2017,515.758
L'Enfant Plaza,4,2017,480.26401
L'Enfant Plaza,5,2017,478.022
L'Enfant Plaza,6,2017,496.599
McPherson Square,10,2016,319.12
McPherson Square,11,2016,289.215
McPherson Square,12,2016,271.44
McPherson Square,2,2017,270.82199
McPherson Square,3,2017,339.06699
McPherson Square,4,2017,316.716
McPherson Square,5,2017,333.50101
McPherson Square,6,2017,358.73901
Metro Center,10,2016,572.008
Metro Center,11,2016,495.12799
Metro Center,12,2016,528.51001
Metro Center,2,2017,512.02502
Metro Center,3,2017,634.16803
Metro Center,4,2017,630.586
Metro Center,5,2017,613.25201
Metro Center,6,2017,634.59998
Smithsonian,3,2017,334.44199
Smithsonian,4,2017,373.267
Smithsonian,5,2017,267.39401
Smithsonian,6,2017,340.80899
Vienna,3,2017,221.733
Vienna,4,2017,220.821
Vienna,5,2017,220.3
Vienna,6,2017,232.989
Vienna,10,2017,215.411
Vienna,11,2017,215.411
Arlington Cemetery,6,2017,67.116997
Arlington Cemetery,10,2017,72.855003
Arlington Cemetery,11,2017,72.855003
Capital South,5,2017,179.075
Capital South,10,2017,210.047
Capital South,11,2017,210.047
Clarendon,3,2017,113.089
Clarendon,4,2017,108.051
Clarendon,5,2017,110.789
Clarendon,6,2017,116.784
Clarendon,10,2017,108.83
Courthouse,3,2017,163.088
Courthouse,4,2017,152.87601
Courthouse,5,2017,152.839
Courthouse,6,2017,160.73199
Courthouse,10,2017,148.95799
Crystal City,3,2017,255.14301
Crystal City,6,2017,265.07001
Crystal City,10,2017,248.85899
Crystal City,11,2017,248.85899
Navy Yard,6,2017,335.10599
Navy Yard,10,2017,294.03101
Navy Yard,11,2017,294.03101
Pentagon,6,2017,295.52899
Pentagon,10,2017,267.72198
Pentagon,11,2017,267.72198
Pentagon City,6,2017,340.42999
Pentagon City,10,2017,319.86801
Pentagon City,11,2017,319.86801
Rosslyn,5,2017,291.28
Rosslyn,6,2017,308.039
Rosslyn,10,2017,292.14301
Virginia Square,3,2017,87.900002
Virginia Square,4,2017,83.412003
Virginia Square,5,2017,85.737
Virginia Square,6,2017,89.241997
Virginia Square,10,2017,80.996002
Waterfront,6,2017,99.537003
Waterfront,10,2017,95.275002
Waterfront,11,2017,95.275002
