observationid,panhandlerid,date,metro,donations,minutes,cash,inkind,declinedoffer
1,11,2/26/2019,Farragut North,5,47,4,0,0
2,8,2/26/2019,Farragut North,3,47,10,0,0
3,76,2/26/2019,Metro Center,5,50,,,1
4,20,2/26/2019,Farragut West,0,7,0,0,
5,60,2/26/2019,Metro Center,0,5,0,0,
6,68,2/26/2019,Metro Center,1,20,,0,1
7,24,2/26/2019,Farragut West,6,58,,3.5999999,1
8,69,2/26/2019,Metro Center,1,10,,0,1
9,1,2/26/2019,Farragut North,0,10,0,0,
10,71,2/26/2019,Metro Center,2,35,1,5.9899998,0
11,13,2/26/2019,Farragut North,6,40,15,0,0
12,53,2/26/2019,McPherson Square,0,5,0,0,
13,33,2/26/2019,Gallery Place,1,11,3,0,0
14,41,2/26/2019,Gallery Place,3,38,10.35,0,0
15,54,2/26/2019,McPherson Square,1,6,1,0,0
16,63,2/26/2019,Metro Center,0,33,0,0,
17,71,2/26/2019,Metro Center,2,25,,0,1
18,61,2/26/2019,Metro Center,0,25,0,0,
19,2,2/26/2019,Farragut North,0,30,0,0,
20,3,2/26/2019,Farragut North,1,43,1,0,0
21,17,2/26/2019,Farragut West,0,22,0,0,
22,62,2/26/2019,Metro Center,0,32,0,0,
23,70,2/26/2019,Metro Center,1,31,5,0,0
24,18,2/26/2019,Farragut West,0,4,0,0,
25,19,2/26/2019,Farragut West,0,26,0,0,
26,39,2/26/2019,Gallery Place,2,35,7,0,0
27,40,2/26/2019,Gallery Place,2,25,1,0,0
28,71,2/26/2019,Metro Center,1,17,18,0,0
29,44,3/19/2019,McPherson Square,0,25,0,0,
30,10,3/19/2019,Farragut North,5,42,,,0
31,6,3/19/2019,Farragut North,2,44,2.5,0,0
32,15,3/19/2019,Farragut West,0,14,0,0,
33,56,3/19/2019,McPherson Square,17,134,36.849998,,0
34,47,3/19/2019,McPherson Square,0,10,0,0,
35,48,3/19/2019,McPherson Square,0,10,0,0,
36,74,3/19/2019,Metro Center,3,140,1,0,0
37,31,3/19/2019,Gallery Place,1,80,2,0,0
38,23,3/19/2019,Farragut West,6,52,24.5,0,0
39,75,3/19/2019,Metro Center,4,32,8,0,0
40,59,3/19/2019,Metro Center,0,5,0,0,
41,45,3/19/2019,McPherson Square,0,20,0,0,
42,44,3/19/2019,McPherson Square,3,25,14,0,0
43,46,3/19/2019,McPherson Square,0,60,0,0,
44,7,3/19/2019,Farragut North,3,43,2.1800001,0,0
45,16,3/19/2019,Farragut West,0,19,0,0,
46,72,3/19/2019,Metro Center,2,64,6,0,0
47,27,3/19/2019,Gallery Place,0,35,0,0,
48,21,3/19/2019,Farragut West,4,63,,0,1
49,56,3/19/2019,McPherson Square,7,66,5.5,0,0
50,28,3/19/2019,Gallery Place,0,10,0,0,
51,49,3/19/2019,McPherson Square,0,44,0,0,
52,50,3/19/2019,McPherson Square,0,46,0,0,
53,67,3/19/2019,Metro Center,1,42,1,0,0
54,51,3/19/2019,McPherson Square,0,24,0,0,
55,32,3/19/2019,Gallery Place,1,15,.5,0,0
56,4,4/16/2019,Farragut North,1,223,20,0,0
57,5,4/16/2019,Farragut North,1,120,0,1.85,0
58,36,4/16/2019,Gallery Place,1,10,,0,1
59,73,4/16/2019,Metro Center,2,105,8,0,0
60,22,4/16/2019,Farragut West,4,105,8,0,0
61,37,4/16/2019,Gallery Place,1,4,0,,0
62,30,4/16/2019,Gallery Place,0,40,0,0,
63,34,4/16/2019,Gallery Place,1,53,0,1.5,0
64,58,4/16/2019,McPherson Square,11,120,18.25,0,0
65,9,4/16/2019,Farragut North,4,75,10,3.75,0
66,42,4/16/2019,Gallery Place,3,60,.5,1.5,0
67,38,4/16/2019,Gallery Place,1,100,0,2.0999999,0
68,66,4/16/2019,Metro Center,0,60,0,0,
69,35,4/16/2019,Gallery Place,1,33,1,0,0
70,26,4/23/2019,Farragut West,14,84,30,,0
71,29,4/23/2019,Gallery Place,0,170,0,0,
72,43,4/23/2019,Gallery Place,10,200,25,0,0
73,64,4/23/2019,Metro Center,0,20,0,0,
74,14,4/23/2019,Farragut North,11,173,,0,1
75,12,4/23/2019,Farragut North,5,84,,0,1
76,57,4/23/2019,McPherson Square,9,151,27.5,0,0
77,25,4/23/2019,Farragut West,9,70,40,0,0
78,65,4/23/2019,Metro Center,0,60,0,0,
79,52,4/23/2019,McPherson Square,0,12,0,0,
80,55,4/23/2019,McPherson Square,2,22,11,0,0
